es,rate,type
0.85,0.1897,cuc
0.9,0.2132,cuc
0.95,0.2311,cuc
1,0.2522,cuc
1.05,0.28,cuc
1.1,0.3044,cuc
1.15,0.3283,cuc
1.2,0.3633,cuc
1.25,0.398,cuc
1.3,0.4214,cuc
1.35,0.44,cuc
1.4,0.4808,cuc
1.45,0.5096,cuc
1.5,0.5388,cuc
1.55,0.5744,cuc
1.6,0.5892,cuc
1.65,0.6269,cuc
1.7,0.6547,cuc
1.75,0.6824,cuc
1.8,0.709,cuc
1.85,0.7416,cuc
1.9,0.7665,cuc
1.95,0.7902,cuc
2,0.8018,cuc
-2,0.8064,lep
-1.95,0.7882,lep
-1.9,0.7623,lep
-1.85,0.7409,lep
-1.8,0.7091,lep
-1.75,0.6901,lep
-1.7,0.6661,lep
-1.65,0.6362,lep
-1.6,0.6042,lep
-1.55,0.5771,lep
-1.5,0.5463,lep
-1.45,0.5219,lep
-1.4,0.4879,lep
-1.35,0.4522,lep
-1.3,0.4326,lep
-1.25,0.3989,lep
-1.2,0.3739,lep
-1.15,0.3369,lep
-1.1,0.3239,lep
-1.05,0.2852,lep
-1,0.2642,lep
-0.95,0.2485,lep
-0.9,0.2252,lep
-0.85,0.2024,lep
-0.8,0.1929,lep
-0.75,0.1598,lep
-0.7,0.1418,lep
-0.65,0.1309,lep
-0.6,0.1182,lep
-0.55,0.1056,lep
-0.5,0.0962,lep
-0.45,0.0842,lep
-0.4,0.084,lep
-0.35,0.0692,lep
-0.3,0.0665,lep
-0.25,0.0571,lep
-0.2,0.0547,lep
-0.15,0.0553,lep
-0.0999999999999999,0.0531,lep
-0.0499999999999998,0.0475,lep
0,0.0522,lep
0.0500000000000003,0.0462,lep
0.1,0.0498,lep
0.15,0.055,lep
0.2,0.0531,lep
0.25,0.0609,lep
0.3,0.0673,lep
0.35,0.0762,lep
0.4,0.0786,lep
0.45,0.0898,lep
0.5,0.0942,lep
0.55,0.1063,lep
0.6,0.1174,lep
0.65,0.1304,lep
0.7,0.1468,lep
0.75,0.163,lep
0.8,0.1772,lep
0.85,0.2084,lep
0.9,0.2174,lep
0.95,0.2468,lep
1,0.2676,lep
1.05,0.2811,lep
1.1,0.3107,lep
1.15,0.3453,lep
1.2,0.3654,lep
1.25,0.3966,lep
1.3,0.418,lep
1.35,0.4568,lep
1.4,0.4815,lep
1.45,0.5106,lep
1.5,0.5449,lep
1.55,0.5765,lep
1.6,0.6027,lep
1.65,0.6359,lep
1.7,0.6569,lep
1.75,0.6954,lep
1.8,0.7183,lep
1.85,0.7374,lep
1.9,0.7574,lep
1.95,0.7891,lep
2,0.8029,lep
